시군구,번지,본번,부번,건물명,전용면적(㎡),대지권면적(㎡),계약년월,계약일,거래금액(만원),층,건축년도,도로명,해제사유발생일,거래유형,중개사소재지
서울특별시 양천구 신정동,877-2,877,2,성진파크맨숀연립,66.81,53.74,202205,23,"33,000",1,1983,신정중앙로 43,,중개거래,서울 양천구
서울특별시 양천구 신정동,1023-6,1023,6,세웅,38.94,23.03,202211,8,"15,000",1,1993,은행정로1길 9,,직거래,-
서울특별시 양천구 신정동,927-22,927,22,소망그린빌라2차나동,40.74,22.17,202304,28,"17,900",4,1992,오목로29길 21-3,,중개거래,서울 양천구
서울특별시 양천구 신정동,1012-23,1012,23,송원빌라,54.13,26.44,202302,13,"24,000",4,2002,목동로11길 27-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,944-14,944,14,수억빌라(944-14),70.52,34.72,202206,15,"34,000",3,2003,오목로24길 9-6,,중개거래,서울 양천구
서울특별시 양천구 신정동,884-3,884,3,수팰리스,60.18,33.8,202206,23,"34,000",5,2008,목동로23길 37-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,932-4,932,4,수팰리스(932-4),29.19,17.89,202207,13,"21,000",6,2016,신정중앙로4길 5,,중개거래,"서울 성동구, 서울 양천구"
서울특별시 양천구 신정동,940-19,940,19,수팰리스FT,29.04,21.12,202206,25,"23,900",5,2018,중앙로52길 16-10,20220707,중개거래,서울 양천구
서울특별시 양천구 신정동,940-19,940,19,수팰리스FT,39.91,29.02,202211,22,"10,000",5,2018,중앙로52길 16-10,,직거래,-
서울특별시 양천구 신정동,940-19,940,19,수팰리스FT,39.91,29.02,202302,5,"32,000",6,2018,중앙로52길 16-10,,중개거래,서울 양천구
서울특별시 양천구 신정동,927-47,927,47,수팰리스에프티,44.795,34.86,202206,7,"39,000",4,2017,오목로29길 15-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,970-7,970,7,스칼라,24.14,17.12,202205,23,"19,000",3,2017,중앙로48길 10,,중개거래,경기 광명시
서울특별시 양천구 신정동,903-4,903,4,시온맨션,52.5,25.22,202301,10,"26,500",4,2000,은행정로18길 14-2,,중개거래,서울 양천구
서울특별시 양천구 신정동,888-20,888,20,신광빌라,78.93,34.39,202207,8,"46,500",1,2001,목동로23길 5-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,913-8,913,8,신목아트빌,45.67,25.48,202205,28,"28,000",2,2011,은행정로17길 17-1,,중개거래,서울 양천구
서울특별시 양천구 신정동,913-8,913,8,신목아트빌,45.67,25.48,202206,1,"29,800",3,2011,은행정로17길 17-1,,중개거래,서울 양천구
